Код,Валюта,Курс,Номинал,Изменение,Дата,Валюта (Код)
AUD,Австралийский доллар,48.0809,1,1.3646,2022-12-29,Австралийский доллар (AUD)
AZN,Азербайджанский манат,41.9565,1,0.8185,2022-12-29,Азербайджанский манат (AZN)
AMD,Армянский драм,18.1367,100,0.3688,2022-12-29,Армянский драм (AMD)
BYN,Белорусский рубль,26.3274,1,0.2499,2022-12-29,Белорусский рубль (BYN)
BGN,Болгарский лев,38.7368,1,0.7557,2022-12-29,Болгарский лев (BGN)
BRL,Бразильский реал,13.5013,1,0.0184,2022-12-29,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,85.8053,1,1.674,2022-12-29,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.8285,100,0.2802,2022-12-29,Венгерский форинт (HUF)
DKK,Датская крона,10.1897,1,0.2003,2022-12-29,Датская крона (DKK)
USD,Доллар США,71.3261,1,1.3915,2022-12-29,Доллар США (USD)
EUR,Евро,75.66,1,1.4771,2022-12-29,Евро (EUR)
INR,Индийская рупия,86.1701,100,1.698,2022-12-29,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2022-12-29,Исландская крона (ISK)
KZT,Казахстанский тенге,15.4848,100,0.3179,2022-12-29,Казахстанский тенге (KZT)
CAD,Канадский доллар,52.4341,1,1.0229,2022-12-29,Канадский доллар (CAD)
KGS,Киргизский сом,83.2471,100,1.6241,2022-12-29,Киргизский сом (KGS)
CNY,Китайский юань,10.1469,1,0.2012,2022-12-29,Китайский юань (CNY)
MDL,Молдавский лей,37.1094,10,0.7637,2022-12-29,Молдавский лей (MDL)
NOK,Норвежская крона,72.6061,10,1.6036,2022-12-29,Норвежская крона (NOK)
PLN,Польский злотый,16.1635,1,0.24,2022-12-29,Польский злотый (PLN)
RON,Румынский лей,15.3386,1,0.2081,2022-12-29,Румынский лей (RON)
SGD,Сингапурский доллар,52.9518,1,0.9906,2022-12-29,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,94.9236,1,1.8518,2022-12-29,Специальные права заимствования (XDR)
TJS,Таджикский сомони,69.8645,10,1.3065,2022-12-29,Таджикский сомони (TJS)
TRY,Турецкая лира,38.1462,10,0.7116,2022-12-29,Турецкая лира (TRY)
TMT,Туркменский манат,20.3789,1,0.3976,2022-12-29,Туркменский манат (TMT)
UZS,Узбекский сум,63.855,0,1.381,2022-12-29,Узбекский сум (UZS)
UAH,Украинская гривна,19.313,10,0.3768,2022-12-29,Украинская гривна (UAH)
CZK,Чешская крона,31.2409,10,0.6014,2022-12-29,Чешская крона (CZK)
SEK,Шведская крона,68.2435,10,1.3249,2022-12-29,Шведская крона (SEK)
CHF,Швейцарский франк,76.6782,1,1.3663,2022-12-29,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,41.4737,10,0.6097,2022-12-29,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,56.2953,0,1.2893,2022-12-29,Южнокорейская вона (KRW)
JPY,Японская иена,53.2682,100,0.7569,2022-12-29,Японская иена (JPY)
AUD,Австралийский доллар,46.7163,1,0.9926,2022-12-28,Австралийский доллар (AUD)
AZN,Азербайджанский манат,41.138,1,0.8741,2022-12-28,Азербайджанский манат (AZN)
AMD,Армянский драм,17.7679,100,0.4167,2022-12-28,Армянский драм (AMD)
BYN,Белорусский рубль,26.0775,1,0.3797,2022-12-28,Белорусский рубль (BYN)
BGN,Болгарский лев,37.9811,1,0.807,2022-12-28,Болгарский лев (BGN)
BRL,Бразильский реал,13.4829,1,0.1769,2022-12-28,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,84.1313,1,1.7875,2022-12-28,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.5483,100,0.421,2022-12-28,Венгерский форинт (HUF)
DKK,Датская крона,99.8937,10,2.1224,2022-12-28,Датская крона (DKK)
USD,Доллар США,69.9346,1,1.4859,2022-12-28,Доллар США (USD)
EUR,Евро,74.1829,1,1.5603,2022-12-28,Евро (EUR)
INR,Индийская рупия,84.4721,100,1.645,2022-12-28,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2022-12-28,Исландская крона (ISK)
KZT,Казахстанский тенге,15.1669,100,0.3502,2022-12-28,Казахстанский тенге (KZT)
CAD,Канадский доллар,51.4112,1,1.0924,2022-12-28,Канадский доллар (CAD)
KGS,Киргизский сом,81.623,100,1.7342,2022-12-28,Киргизский сом (KGS)
CNY,Китайский юань,99.4575,10,2.1241,2022-12-28,Китайский юань (CNY)
MDL,Молдавский лей,36.3457,10,0.8068,2022-12-28,Молдавский лей (MDL)
NOK,Норвежская крона,71.0025,10,1.5875,2022-12-28,Норвежская крона (NOK)
PLN,Польский злотый,15.9235,1,0.2595,2022-12-28,Польский злотый (PLN)
RON,Румынский лей,15.1305,1,0.3083,2022-12-28,Румынский лей (RON)
SGD,Сингапурский доллар,51.9612,1,1.341,2022-12-28,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,93.0718,1,1.9775,2022-12-28,Специальные права заимствования (XDR)
TJS,Таджикский сомони,68.558,10,1.4869,2022-12-28,Таджикский сомони (TJS)
TRY,Турецкая лира,37.4346,10,0.784,2022-12-28,Турецкая лира (TRY)
TMT,Туркменский манат,19.9813,1,0.4245,2022-12-28,Туркменский манат (TMT)
UZS,Узбекский сум,62.474,0,1.3924,2022-12-28,Узбекский сум (UZS)
UAH,Украинская гривна,18.9362,10,0.4023,2022-12-28,Украинская гривна (UAH)
CZK,Чешская крона,30.6395,10,0.651,2022-12-28,Чешская крона (CZK)
SEK,Шведская крона,66.9186,10,1.5744,2022-12-28,Шведская крона (SEK)
CHF,Швейцарский франк,75.3119,1,1.8139,2022-12-28,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,40.864,10,0.8683,2022-12-28,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,55.006,0,1.3123,2022-12-28,Южнокорейская вона (KRW)
JPY,Японская иена,52.5113,100,0.8519,2022-12-28,Японская иена (JPY)
AUD,Австралийский доллар,45.7237,1,-0.1519,2022-12-27,Австралийский доллар (AUD)
AZN,Азербайджанский манат,40.2639,1,-0.1337,2022-12-27,Азербайджанский манат (AZN)
AMD,Армянский драм,17.3512,100,-0.0877,2022-12-27,Армянский драм (AMD)
BYN,Белорусский рубль,25.6978,1,0.1895,2022-12-27,Белорусский рубль (BYN)
BGN,Болгарский лев,37.1741,1,-0.162,2022-12-27,Болгарский лев (BGN)
BRL,Бразильский реал,13.306,1,0.0655,2022-12-27,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,82.3438,1,-0.2734,2022-12-27,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.1273,100,-0.0602,2022-12-27,Венгерский форинт (HUF)
DKK,Датская крона,97.7713,10,-0.4214,2022-12-27,Датская крона (DKK)
USD,Доллар США,68.4487,1,-0.2273,2022-12-27,Доллар США (USD)
EUR,Евро,72.6226,1,-0.4181,2022-12-27,Евро (EUR)
INR,Индийская рупия,82.8271,100,-0.0965,2022-12-27,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2022-12-27,Исландская крона (ISK)
KZT,Казахстанский тенге,14.8167,100,0.1103,2022-12-27,Казахстанский тенге (KZT)
CAD,Канадский доллар,50.3188,1,0.0288,2022-12-27,Канадский доллар (CAD)
KGS,Киргизский сом,79.8888,100,-0.2653,2022-12-27,Киргизский сом (KGS)
CNY,Китайский юань,97.3334,10,-0.255,2022-12-27,Китайский юань (CNY)
MDL,Молдавский лей,35.5389,10,-0.0755,2022-12-27,Молдавский лей (MDL)
NOK,Норвежская крона,69.415,10,-0.2601,2022-12-27,Норвежская крона (NOK)
PLN,Польский злотый,15.664,1,-0.018,2022-12-27,Польский злотый (PLN)
RON,Румынский лей,14.8222,1,-0.0492,2022-12-27,Румынский лей (RON)
SGD,Сингапурский доллар,50.6202,1,-0.1681,2022-12-27,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,91.0943,1,-0.343,2022-12-27,Специальные права заимствования (XDR)
TJS,Таджикский сомони,67.0711,10,-0.2069,2022-12-27,Таджикский сомони (TJS)
TRY,Турецкая лира,36.6506,10,-0.1355,2022-12-27,Турецкая лира (TRY)
TMT,Туркменский манат,19.5568,1,-0.0649,2022-12-27,Туркменский манат (TMT)
UZS,Узбекский сум,61.0816,0,-0.0981,2022-12-27,Узбекский сум (UZS)
UAH,Украинская гривна,18.5339,10,-0.0608,2022-12-27,Украинская гривна (UAH)
CZK,Чешская крона,29.9885,10,-0.1696,2022-12-27,Чешская крона (CZK)
SEK,Шведская крона,65.3442,10,-0.217,2022-12-27,Шведская крона (SEK)
CHF,Швейцарский франк,73.498,1,-0.2441,2022-12-27,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,39.9957,10,-0.1328,2022-12-27,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,53.6937,0,0.0741,2022-12-27,Южнокорейская вона (KRW)
JPY,Японская иена,51.6594,100,-0.1129,2022-12-27,Японская иена (JPY)
AUD,Австралийский доллар,45.8756,1,-2.8919,2022-12-26,Австралийский доллар (AUD)
AZN,Азербайджанский манат,40.3976,1,-2.0322,2022-12-26,Азербайджанский манат (AZN)
AMD,Армянский драм,17.4389,100,-0.8651,2022-12-26,Армянский драм (AMD)
BYN,Белорусский рубль,25.5083,1,-0.8456,2022-12-26,Белорусский рубль (BYN)
BGN,Болгарский лев,37.3361,1,-1.8888,2022-12-26,Болгарский лев (BGN)
BRL,Бразильский реал,13.2405,1,-0.6233,2022-12-26,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,82.6172,1,-4.7257,2022-12-26,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.1875,100,-0.9038,2022-12-26,Венгерский форинт (HUF)
DKK,Датская крона,98.1927,10,-4.9513,2022-12-26,Датская крона (DKK)
USD,Доллар США,68.676,1,-3.4546,2022-12-26,Доллар США (USD)
EUR,Евро,73.0407,1,-3.6039,2022-12-26,Евро (EUR)
INR,Индийская рупия,82.9236,100,-4.5263,2022-12-26,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2022-12-26,Исландская крона (ISK)
KZT,Казахстанский тенге,14.7064,100,-0.6314,2022-12-26,Казахстанский тенге (KZT)
CAD,Канадский доллар,50.29,1,-2.7004,2022-12-26,Канадский доллар (CAD)
KGS,Киргизский сом,80.1541,100,-4.0319,2022-12-26,Киргизский сом (KGS)
CNY,Китайский юань,97.5884,10,-5.0116,2022-12-26,Китайский юань (CNY)
MDL,Молдавский лей,35.6144,10,-1.7269,2022-12-26,Молдавский лей (MDL)
NOK,Норвежская крона,69.6751,10,-4.0057,2022-12-26,Норвежская крона (NOK)
PLN,Польский злотый,15.682,1,-0.7918,2022-12-26,Польский злотый (PLN)
RON,Румынский лей,14.8714,1,-0.7901,2022-12-26,Румынский лей (RON)
SGD,Сингапурский доллар,50.7883,1,-2.7409,2022-12-26,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,91.4373,1,-4.6414,2022-12-26,Специальные права заимствования (XDR)
TJS,Таджикский сомони,67.278,10,-3.3732,2022-12-26,Таджикский сомони (TJS)
TRY,Турецкая лира,36.7861,10,-1.8691,2022-12-26,Турецкая лира (TRY)
TMT,Туркменский манат,19.6217,1,-0.987,2022-12-26,Туркменский манат (TMT)
UZS,Узбекский сум,61.1797,0,-2.9074,2022-12-26,Узбекский сум (UZS)
UAH,Украинская гривна,18.5947,10,-0.9361,2022-12-26,Украинская гривна (UAH)
CZK,Чешская крона,30.1581,10,-1.5254,2022-12-26,Чешская крона (CZK)
SEK,Шведская крона,65.5612,10,-4.1619,2022-12-26,Шведская крона (SEK)
CHF,Швейцарский франк,73.7421,1,-4.372,2022-12-26,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,40.1285,10,-1.9319,2022-12-26,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,53.6196,0,-2.9002,2022-12-26,Южнокорейская вона (KRW)
JPY,Японская иена,51.7723,100,-2.9633,2022-12-26,Японская иена (JPY)
AUD,Австралийский доллар,45.8756,1,-2.8919,2022-12-25,Австралийский доллар (AUD)
AZN,Азербайджанский манат,40.3976,1,-2.0322,2022-12-25,Азербайджанский манат (AZN)
AMD,Армянский драм,17.4389,100,-0.8651,2022-12-25,Армянский драм (AMD)
BYN,Белорусский рубль,25.5083,1,-0.8456,2022-12-25,Белорусский рубль (BYN)
BGN,Болгарский лев,37.3361,1,-1.8888,2022-12-25,Болгарский лев (BGN)
BRL,Бразильский реал,13.2405,1,-0.6233,2022-12-25,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,82.6172,1,-4.7257,2022-12-25,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.1875,100,-0.9038,2022-12-25,Венгерский форинт (HUF)
DKK,Датская крона,98.1927,10,-4.9513,2022-12-25,Датская крона (DKK)
USD,Доллар США,68.676,1,-3.4546,2022-12-25,Доллар США (USD)
EUR,Евро,73.0407,1,-3.6039,2022-12-25,Евро (EUR)
INR,Индийская рупия,82.9236,100,-4.5263,2022-12-25,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2022-12-25,Исландская крона (ISK)
KZT,Казахстанский тенге,14.7064,100,-0.6314,2022-12-25,Казахстанский тенге (KZT)
CAD,Канадский доллар,50.29,1,-2.7004,2022-12-25,Канадский доллар (CAD)
KGS,Киргизский сом,80.1541,100,-4.0319,2022-12-25,Киргизский сом (KGS)
CNY,Китайский юань,97.5884,10,-5.0116,2022-12-25,Китайский юань (CNY)
MDL,Молдавский лей,35.6144,10,-1.7269,2022-12-25,Молдавский лей (MDL)
NOK,Норвежская крона,69.6751,10,-4.0057,2022-12-25,Норвежская крона (NOK)
PLN,Польский злотый,15.682,1,-0.7918,2022-12-25,Польский злотый (PLN)
RON,Румынский лей,14.8714,1,-0.7901,2022-12-25,Румынский лей (RON)
SGD,Сингапурский доллар,50.7883,1,-2.7409,2022-12-25,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,91.4373,1,-4.6414,2022-12-25,Специальные права заимствования (XDR)
TJS,Таджикский сомони,67.278,10,-3.3732,2022-12-25,Таджикский сомони (TJS)
TRY,Турецкая лира,36.7861,10,-1.8691,2022-12-25,Турецкая лира (TRY)
TMT,Туркменский манат,19.6217,1,-0.987,2022-12-25,Туркменский манат (TMT)
UZS,Узбекский сум,61.1797,0,-2.9074,2022-12-25,Узбекский сум (UZS)
UAH,Украинская гривна,18.5947,10,-0.9361,2022-12-25,Украинская гривна (UAH)
CZK,Чешская крона,30.1581,10,-1.5254,2022-12-25,Чешская крона (CZK)
SEK,Шведская крона,65.5612,10,-4.1619,2022-12-25,Шведская крона (SEK)
CHF,Швейцарский франк,73.7421,1,-4.372,2022-12-25,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,40.1285,10,-1.9319,2022-12-25,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,53.6196,0,-2.9002,2022-12-25,Южнокорейская вона (KRW)
JPY,Японская иена,51.7723,100,-2.9633,2022-12-25,Японская иена (JPY)
AUD,Австралийский доллар,45.8756,1,-2.8919,2022-12-24,Австралийский доллар (AUD)
AZN,Азербайджанский манат,40.3976,1,-2.0322,2022-12-24,Азербайджанский манат (AZN)
AMD,Армянский драм,17.4389,100,-0.8651,2022-12-24,Армянский драм (AMD)
BYN,Белорусский рубль,25.5083,1,-0.8456,2022-12-24,Белорусский рубль (BYN)
BGN,Болгарский лев,37.3361,1,-1.8888,2022-12-24,Болгарский лев (BGN)
BRL,Бразильский реал,13.2405,1,-0.6233,2022-12-24,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,82.6172,1,-4.7257,2022-12-24,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.1875,100,-0.9038,2022-12-24,Венгерский форинт (HUF)
DKK,Датская крона,98.1927,10,-4.9513,2022-12-24,Датская крона (DKK)
USD,Доллар США,68.676,1,-3.4546,2022-12-24,Доллар США (USD)
EUR,Евро,73.0407,1,-3.6039,2022-12-24,Евро (EUR)
INR,Индийская рупия,82.9236,100,-4.5263,2022-12-24,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2022-12-24,Исландская крона (ISK)
KZT,Казахстанский тенге,14.7064,100,-0.6314,2022-12-24,Казахстанский тенге (KZT)
CAD,Канадский доллар,50.29,1,-2.7004,2022-12-24,Канадский доллар (CAD)
KGS,Киргизский сом,80.1541,100,-4.0319,2022-12-24,Киргизский сом (KGS)
CNY,Китайский юань,97.5884,10,-5.0116,2022-12-24,Китайский юань (CNY)
MDL,Молдавский лей,35.6144,10,-1.7269,2022-12-24,Молдавский лей (MDL)
NOK,Норвежская крона,69.6751,10,-4.0057,2022-12-24,Норвежская крона (NOK)
PLN,Польский злотый,15.682,1,-0.7918,2022-12-24,Польский злотый (PLN)
RON,Румынский лей,14.8714,1,-0.7901,2022-12-24,Румынский лей (RON)
SGD,Сингапурский доллар,50.7883,1,-2.7409,2022-12-24,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,91.4373,1,-4.6414,2022-12-24,Специальные права заимствования (XDR)
TJS,Таджикский сомони,67.278,10,-3.3732,2022-12-24,Таджикский сомони (TJS)
TRY,Турецкая лира,36.7861,10,-1.8691,2022-12-24,Турецкая лира (TRY)
TMT,Туркменский манат,19.6217,1,-0.987,2022-12-24,Туркменский манат (TMT)
UZS,Узбекский сум,61.1797,0,-2.9074,2022-12-24,Узбекский сум (UZS)
UAH,Украинская гривна,18.5947,10,-0.9361,2022-12-24,Украинская гривна (UAH)
CZK,Чешская крона,30.1581,10,-1.5254,2022-12-24,Чешская крона (CZK)
SEK,Шведская крона,65.5612,10,-4.1619,2022-12-24,Шведская крона (SEK)
CHF,Швейцарский франк,73.7421,1,-4.372,2022-12-24,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,40.1285,10,-1.9319,2022-12-24,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,53.6196,0,-2.9002,2022-12-24,Южнокорейская вона (KRW)
JPY,Японская иена,51.7723,100,-2.9633,2022-12-24,Японская иена (JPY)
AUD,Австралийский доллар,48.7675,1,1.7692,2022-12-23,Австралийский доллар (AUD)
AZN,Азербайджанский манат,42.4298,1,0.9442,2022-12-23,Азербайджанский манат (AZN)
AMD,Армянский драм,18.304,100,0.4027,2022-12-23,Армянский драм (AMD)
BYN,Белорусский рубль,26.3539,1,0.1605,2022-12-23,Белорусский рубль (BYN)
BGN,Болгарский лев,39.2249,1,1.0059,2022-12-23,Болгарский лев (BGN)
BRL,Бразильский реал,13.8638,1,0.4109,2022-12-23,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,87.3429,1,1.7319,2022-12-23,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,19.0913,100,0.4982,2022-12-23,Венгерский форинт (HUF)
DKK,Датская крона,10.3144,1,0.2657,2022-12-23,Датская крона (DKK)
USD,Доллар США,72.1306,1,1.605,2022-12-23,Доллар США (USD)
EUR,Евро,76.6446,1,1.5532,2022-12-23,Евро (EUR)
INR,Индийская рупия,87.4499,100,1.9819,2022-12-23,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2022-12-23,Исландская крона (ISK)
KZT,Казахстанский тенге,15.3378,100,0.3061,2022-12-23,Казахстанский тенге (KZT)
CAD,Канадский доллар,52.9904,1,1.2133,2022-12-23,Канадский доллар (CAD)
KGS,Киргизский сом,84.186,100,1.8731,2022-12-23,Киргизский сом (KGS)
CNY,Китайский юань,10.26,1,0.1764,2022-12-23,Китайский юань (CNY)
MDL,Молдавский лей,37.3413,10,0.8542,2022-12-23,Молдавский лей (MDL)
NOK,Норвежская крона,73.6808,10,1.937,2022-12-23,Норвежская крона (NOK)
PLN,Польский злотый,16.4738,1,0.4212,2022-12-23,Польский злотый (PLN)
RON,Румынский лей,15.6615,1,0.3846,2022-12-23,Румынский лей (RON)
SGD,Сингапурский доллар,53.5292,1,1.3884,2022-12-23,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,96.0787,1,2.0349,2022-12-23,Специальные права заимствования (XDR)
TJS,Таджикский сомони,70.6512,10,1.566,2022-12-23,Таджикский сомони (TJS)
TRY,Турецкая лира,38.6552,10,0.8498,2022-12-23,Турецкая лира (TRY)
TMT,Туркменский манат,20.6087,1,0.4585,2022-12-23,Туркменский манат (TMT)
UZS,Узбекский сум,64.0871,0,1.5524,2022-12-23,Узбекский сум (UZS)
UAH,Украинская гривна,19.5308,10,0.435,2022-12-23,Украинская гривна (UAH)
CZK,Чешская крона,31.6835,10,0.7729,2022-12-23,Чешская крона (CZK)
SEK,Шведская крона,69.7231,10,2.0642,2022-12-23,Шведская крона (SEK)
CHF,Швейцарский франк,78.1141,1,1.9772,2022-12-23,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,42.0604,10,1.2821,2022-12-23,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,56.5198,0,1.6659,2022-12-23,Южнокорейская вона (KRW)
JPY,Японская иена,54.7356,100,1.1976,2022-12-23,Японская иена (JPY)
AUD,Австралийский доллар,46.9983,1,1.0487,2022-12-22,Австралийский доллар (AUD)
AZN,Азербайджанский манат,41.4856,1,0.8952,2022-12-22,Азербайджанский манат (AZN)
AMD,Армянский драм,17.9013,100,0.3757,2022-12-22,Армянский драм (AMD)
BYN,Белорусский рубль,26.1934,1,0.2473,2022-12-22,Белорусский рубль (BYN)
BGN,Болгарский лев,38.219,1,0.8288,2022-12-22,Болгарский лев (BGN)
BRL,Бразильский реал,13.4529,1,0.4718,2022-12-22,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,85.611,1,1.9095,2022-12-22,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.5931,100,0.3873,2022-12-22,Венгерский форинт (HUF)
DKK,Датская крона,10.0487,1,0.217,2022-12-22,Датская крона (DKK)
USD,Доллар США,70.5256,1,1.5219,2022-12-22,Доллар США (USD)
EUR,Евро,75.0914,1,1.7525,2022-12-22,Евро (EUR)
INR,Индийская рупия,85.468,100,2.045,2022-12-22,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2022-12-22,Исландская крона (ISK)
KZT,Казахстанский тенге,15.0317,100,0.2949,2022-12-22,Казахстанский тенге (KZT)
CAD,Канадский доллар,51.7771,1,1.236,2022-12-22,Канадский доллар (CAD)
KGS,Киргизский сом,82.3129,100,1.767,2022-12-22,Киргизский сом (KGS)
CNY,Китайский юань,10.0836,1,0.2046,2022-12-22,Китайский юань (CNY)
MDL,Молдавский лей,36.4871,10,0.8987,2022-12-22,Молдавский лей (MDL)
NOK,Норвежская крона,71.7438,10,1.8263,2022-12-22,Норвежская крона (NOK)
PLN,Польский злотый,16.0526,1,0.3742,2022-12-22,Польский злотый (PLN)
RON,Румынский лей,15.2769,1,0.3388,2022-12-22,Румынский лей (RON)
SGD,Сингапурский доллар,52.1408,1,1.2681,2022-12-22,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,94.0438,1,2.3117,2022-12-22,Специальные права заимствования (XDR)
TJS,Таджикский сомони,69.0852,10,1.4822,2022-12-22,Таджикский сомони (TJS)
TRY,Турецкая лира,37.8054,10,0.8021,2022-12-22,Турецкая лира (TRY)
TMT,Туркменский манат,20.1502,1,0.4349,2022-12-22,Туркменский манат (TMT)
UZS,Узбекский сум,62.5347,0,1.3947,2022-12-22,Узбекский сум (UZS)
UAH,Украинская гривна,19.0958,10,0.4117,2022-12-22,Украинская гривна (UAH)
CZK,Чешская крона,30.9106,10,0.7266,2022-12-22,Чешская крона (CZK)
SEK,Шведская крона,67.6589,10,1.35,2022-12-22,Шведская крона (SEK)
CHF,Швейцарский франк,76.1369,1,1.6269,2022-12-22,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,40.7783,10,0.9592,2022-12-22,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,54.8539,0,1.3461,2022-12-22,Южнокорейская вона (KRW)
JPY,Японская иена,53.538,100,1.6984,2022-12-22,Японская иена (JPY)
AUD,Австралийский доллар,45.9496,1,1.4106,2022-12-21,Австралийский доллар (AUD)
AZN,Азербайджанский манат,40.5904,1,1.5625,2022-12-21,Азербайджанский манат (AZN)
AMD,Армянский драм,17.5256,100,0.6985,2022-12-21,Армянский драм (AMD)
BYN,Белорусский рубль,25.9461,1,0.3501,2022-12-21,Белорусский рубль (BYN)
BGN,Болгарский лев,37.3902,1,1.3671,2022-12-21,Болгарский лев (BGN)
BRL,Бразильский реал,12.9811,1,0.4163,2022-12-21,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,83.7015,1,3.0695,2022-12-21,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.2058,100,0.7625,2022-12-21,Венгерский форинт (HUF)
DKK,Датская крона,98.3169,10,3.5931,2022-12-21,Датская крона (DKK)
USD,Доллар США,69.0037,1,2.6563,2022-12-21,Доллар США (USD)
EUR,Евро,73.3389,1,2.7193,2022-12-21,Евро (EUR)
INR,Индийская рупия,83.423,100,3.1406,2022-12-21,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2022-12-21,Исландская крона (ISK)
KZT,Казахстанский тенге,14.7368,100,0.5769,2022-12-21,Казахстанский тенге (KZT)
CAD,Канадский доллар,50.5411,1,2.0663,2022-12-21,Канадский доллар (CAD)
KGS,Киргизский сом,80.5459,100,2.4442,2022-12-21,Киргизский сом (KGS)
CNY,Китайский юань,98.7901,10,3.7937,2022-12-21,Китайский юань (CNY)
MDL,Молдавский лей,35.5884,10,1.3917,2022-12-21,Молдавский лей (MDL)
NOK,Норвежская крона,69.9175,10,2.8722,2022-12-21,Норвежская крона (NOK)
PLN,Польский злотый,15.6784,1,0.6418,2022-12-21,Польский злотый (PLN)
RON,Румынский лей,14.9381,1,0.6184,2022-12-21,Румынский лей (RON)
SGD,Сингапурский доллар,50.8727,1,1.9764,2022-12-21,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,91.7321,1,3.4947,2022-12-21,Специальные права заимствования (XDR)
TJS,Таджикский сомони,67.603,10,2.5833,2022-12-21,Таджикский сомони (TJS)
TRY,Турецкая лира,37.0033,10,1.4161,2022-12-21,Турецкая лира (TRY)
TMT,Туркменский манат,19.7153,1,0.7589,2022-12-21,Туркменский манат (TMT)
UZS,Узбекский сум,61.14,0,2.2429,2022-12-21,Узбекский сум (UZS)
UAH,Украинская гривна,18.6841,10,0.7196,2022-12-21,Украинская гривна (UAH)
CZK,Чешская крона,30.184,10,1.1429,2022-12-21,Чешская крона (CZK)
SEK,Шведская крона,66.3089,10,2.2336,2022-12-21,Шведская крона (SEK)
CHF,Швейцарский франк,74.51,1,3.1917,2022-12-21,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,39.8191,10,1.8079,2022-12-21,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,53.5078,0,2.5849,2022-12-21,Южнокорейская вона (KRW)
JPY,Японская иена,51.8396,100,3.1121,2022-12-21,Японская иена (JPY)
AUD,Австралийский доллар,44.539,1,1.213,2022-12-20,Австралийский доллар (AUD)
AZN,Азербайджанский манат,39.0279,1,1.0233,2022-12-20,Азербайджанский манат (AZN)
AMD,Армянский драм,16.8271,100,0.4479,2022-12-20,Армянский драм (AMD)
BYN,Белорусский рубль,25.596,1,0.3023,2022-12-20,Белорусский рубль (BYN)
BGN,Болгарский лев,36.0231,1,0.9388,2022-12-20,Болгарский лев (BGN)
BRL,Бразильский реал,12.5648,1,0.4159,2022-12-20,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,80.632,1,1.6813,2022-12-20,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,17.4433,100,0.5599,2022-12-20,Венгерский форинт (HUF)
