Код,Валюта,Курс,Номинал,Изменение,Дата,Валюта (Код)
NOK,Норвежская крона,70.9465,10,-0.5645,2023-01-10,Норвежская крона (NOK)
PLN,Польский злотый,15.9959,1,-0.0537,2023-01-10,Польский злотый (PLN)
RON,Румынский лей,15.2326,1,0.056,2023-01-10,Румынский лей (RON)
SGD,Сингапурский доллар,52.8176,1,0.5065,2023-01-10,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,93.2385,1,-0.3695,2023-01-10,Специальные права заимствования (XDR)
TJS,Таджикский сомони,68.8179,10,-0.1242,2023-01-10,Таджикский сомони (TJS)
TRY,Турецкая лира,37.4601,10,-0.1264,2023-01-10,Турецкая лира (TRY)
TMT,Туркменский манат,20.0858,1,-0.0106,2023-01-10,Туркменский манат (TMT)
UZS,Узбекский сум,62.2125,0,-0.4464,2023-01-10,Узбекский сум (UZS)
UAH,Украинская гривна,19.0855,10,-0.0532,2023-01-10,Украинская гривна (UAH)
CZK,Чешская крона,30.684,10,-0.2771,2023-01-10,Чешская крона (CZK)
SEK,Шведская крона,67.1034,10,-0.2884,2023-01-10,Шведская крона (SEK)
CHF,Швейцарский франк,76.0413,1,-0.1392,2023-01-10,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,41.3127,10,-0.1035,2023-01-10,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,56.5341,0,0.9093,2023-01-10,Южнокорейская вона (KRW)
JPY,Японская иена,52.6042,100,-0.4567,2023-01-10,Японская иена (JPY)
AUD,Австралийский доллар,47.6537,1,-0.9385,2023-01-09,Австралийский доллар (AUD)
AZN,Азербайджанский манат,41.375,1,-0.9649,2023-01-09,Азербайджанский манат (AZN)
AMD,Армянский драм,17.8717,100,-0.4242,2023-01-09,Армянский драм (AMD)
BYN,Белорусский рубль,25.7044,1,-0.5994,2023-01-09,Белорусский рубль (BYN)
BGN,Болгарский лев,38.2977,1,-0.7931,2023-01-09,Болгарский лев (BGN)
BRL,Бразильский реал,13.4813,1,-0.1682,2023-01-09,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,84.7919,1,-1.8478,2023-01-09,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.7227,100,-0.3311,2023-01-09,Венгерский форинт (HUF)
DKK,Датская крона,10.0722,1,-0.2262,2023-01-09,Датская крона (DKK)
USD,Доллар США,70.3375,1,-1.6403,2023-01-09,Доллар США (USD)
EUR,Евро,75.6553,1,-0.4212,2023-01-09,Евро (EUR)
INR,Индийская рупия,84.8785,100,-2.1901,2023-01-09,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-09,Исландская крона (ISK)
KZT,Казахстанский тенге,15.2583,100,-0.3473,2023-01-09,Казахстанский тенге (KZT)
CAD,Канадский доллар,51.8828,1,-1.1786,2023-01-09,Канадский доллар (CAD)
KGS,Киргизский сом,82.0933,100,-1.9144,2023-01-09,Киргизский сом (KGS)
CNY,Китайский юань,98.9492,10,-2.3568,2023-01-09,Китайский юань (CNY)
MDL,Молдавский лей,36.7146,10,-0.8445,2023-01-09,Молдавский лей (MDL)
NOK,Норвежская крона,71.511,10,-1.1278,2023-01-09,Норвежская крона (NOK)
PLN,Польский злотый,16.0496,1,-0.2626,2023-01-09,Польский злотый (PLN)
RON,Румынский лей,15.1766,1,-0.3022,2023-01-09,Румынский лей (RON)
SGD,Сингапурский доллар,52.3111,1,-1.073,2023-01-09,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,93.608,1,-2.1829,2023-01-09,Специальные права заимствования (XDR)
TJS,Таджикский сомони,68.9421,10,-1.6161,2023-01-09,Таджикский сомони (TJS)
TRY,Турецкая лира,37.5865,10,-0.8769,2023-01-09,Турецкая лира (TRY)
TMT,Туркменский манат,20.0964,1,-0.4687,2023-01-09,Туркменский манат (TMT)
UZS,Узбекский сум,62.6589,0,-1.6324,2023-01-09,Узбекский сум (UZS)
UAH,Украинская гривна,19.1387,10,-0.3507,2023-01-09,Украинская гривна (UAH)
CZK,Чешская крона,30.9611,10,-0.6136,2023-01-09,Чешская крона (CZK)
SEK,Шведская крона,67.3918,10,-1.3234,2023-01-09,Шведская крона (SEK)
CHF,Швейцарский франк,76.1805,1,-1.7682,2023-01-09,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,41.4162,10,-0.8846,2023-01-09,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,55.6248,0,-1.2971,2023-01-09,Южнокорейская вона (KRW)
JPY,Японская иена,53.0609,100,-0.6419,2023-01-09,Японская иена (JPY)
AUD,Австралийский доллар,47.6537,1,-0.9385,2023-01-08,Австралийский доллар (AUD)
